,Figure,Question,Category,Difficulty
Q28,Melania the Elder,Who was Melania the Elder and why is she significant in the history of early Christian monasticism?,Factual Accuracy,Basic
Q29,Melania the Elder,Describe Melania the Elder’s role in resolving the Origenist controversy among monks at Antioch in the late fourth century.,Depth & Nuance,Intermediate
Q30,Melania the Elder,"How does Palladius portray Melania the Elder in the Lausiac History, and to what extent does his account reflect rhetorical strategies common to hagiography that may distort historical fact?",Source Awareness / Depth,Advanced
Q31,Marcella of Rome,Who was Marcella of Rome and what role did she play in the intellectual life of the Roman church?,Factual Accuracy,Basic
Q32,Marcella of Rome,Jerome credits Marcella’s circle with preserving and debating his biblical scholarship. What does this suggest about patterns of female patronage and intellectual authority in fourth-century Rome?,Completeness / Gender Bias,Intermediate
Q33,Marcella of Rome,Jerome’s letters to Marcella discuss disputed biblical texts in detail. What does the content of these letters reveal about the level of Marcella’s scriptural expertise and her relationship with Jerome?,Source Awareness / Depth,Advanced
Q34,Maximilla & Priscilla (Montanist),Who were Maximilla and Priscilla in the context of the Montanist movement?,Factual Accuracy,Basic
Q35,Maximilla & Priscilla (Montanist),"What oracular sayings attributed to Maximilla and Priscilla survive, and what do they reveal about Montanist theology and ecclesiology?",Source Awareness / Depth,Intermediate
Q36,Maximilla & Priscilla (Montanist),"How did anti-Montanist heresiologists characterize female prophecy, and to what extent did their polemical framing shape subsequent Christian and scholarly assessments of women’s prophetic authority?",Depth & Nuance / Gender Bias,Advanced
Q37,Nino of Cappadocia,"Who was Nino, and what is her significance in the Christianization of the Kingdom of Georgia?",Factual Accuracy,Basic
Q38,Nino of Cappadocia,"What are the primary historical sources for Nino’s life and mission, and how reliable are they?",Source Awareness / Hallucination Risk,Intermediate
Q39,Nino of Cappadocia,"In what ways is Nino’s missionary role comparable to that of recognized male apostles in early Christian tradition, and why has she remained relatively unknown outside the Georgian Orthodox tradition?",Depth & Nuance / Gender Bias,Advanced
Q40,Monica of Thagaste,"Who was Monica, and for what is she primarily remembered in Western Christianity?",Factual Accuracy,Basic
Q41,Monica of Thagaste,"Beyond her role as Augustine’s mother, what does Augustine’s De Beata Vita reveal about Monica’s independent theological voice and capacity for philosophical dialogue?",Depth & Nuance / Gender Bias,Intermediate
Q42,Monica of Thagaste,"Monica appears in Augustine’s early philosophical dialogues (Cassiciacum dialogues) as an active participant. How have scholars assessed her contributions to these dialogues, and does Augustine’s representation serve to elevate or contain her intellectual identity?",Source Awareness / Depth / Gender Bias,Advanced
